FID,the_geom,ID,ID1,COD_TS,SIMT,COMUNA,EJE,DESDE_CRUC,HACIA_CRUC,NOMBRE_PAR,X,Y,N_ET,N_ZP,ZP_HORARIO,FREPMA,FREPTA,NSERVICIOS,SERVICIOS,MULTIPLE_F
paradas_frecuentes.1,POINT (333352.20955628296 6285793.363584405),1060,1060,L-13-63-5-NS,PI317,MAIPé,PARQUE CENTRAL PONIENTE,CALETERA CAMINO A MELIPILLA,LAGO BRACCIANO,Central Poniente esq. / Lago Bracciano,333352.2096,6285793.3636,,,,21.5,31.67,5,111I;113R;113eR;I11R;I23R,L-13-63-5-NS|PI317|111I;113R;113eR;I11R;I23R
paradas_frecuentes.2,POINT (333556.9557042194 6285602.346715363),1061,1061,L-13-63-10-PO,PI307,MAIPé,PARQUE CENTRAL PONIENTE,LAS ARALIAS,LAGO DE COMO,Central Poniente esq. / Lago de Como,333556.9557,6285602.3467,,,,21.5,31.67,5,111I;113R;113eR;I11R;I23R,L-13-63-10-PO|PI307|111I;113R;113eR;I11R;I23R
paradas_frecuentes.3,POINT (333620.3706144813 6285624.741283562),1072,1072,L-13-61-10-OP,PI269,MAIPé,PARQUE CENTRAL ORIENTE,LIQUIDAMBAR 4,LAGO DE COMO,Central Oriente esq. / Lago de Como,333620.3706,6285624.7413,,,,30.5,22,5,111R;113I;113eI;I11I;I23I,L-13-61-10-OP|PI269|111R;113I;113eI;I11I;I23I
paradas_frecuentes.4,POINT (334004.8629254934 6285199.223043038),1063,1063,L-13-63-20-PO,PI309,MAIPé,PARQUE CENTRAL PONIENTE,EL CACTUS,LAGO CASTELGANDOLFO,Central Poniente esq. / Castelgandolfo,334004.8629,6285199.223,,,,21.5,31.67,5,111I;113R;113eR;I11R;I23R,L-13-63-20-PO|PI309|111I;113R;113eR;I11R;I23R
paradas_frecuentes.5,POINT (334032.7924818453 6285254.390703975),1070,1070,L-13-61-20-OP,PI267,MAIPé,PARQUE CENTRAL ORIENTE,EL HELECHO NORTE,LAGO CASTELGANDOLFO,Central Oriente esq. / Castelgandolfo,334032.7925,6285254.3907,,,,30.5,22,5,111R;113I;113eI;I11I;I23I,L-13-61-20-OP|PI267|111R;113I;113eI;I11I;I23I
paradas_frecuentes.6,POINT (333766.76552915305 6285413.410050958),1062,1062,L-13-63-15-PO,PI308,MAIPé,PARQUE CENTRAL PONIENTE,EL BAMBU,LAGO BOLSENA,Central Poniente esq. / Lago Bolsena,333766.7655,6285413.4101,,,,21.5,31.67,5,111I;113R;113eR;I11R;I23R,L-13-63-15-PO|PI308|111I;113R;113eR;I11R;I23R
paradas_frecuentes.7,POINT (333852.5351796234 6285437.298699851),1071,1071,L-13-61-15-SN,PI268,MAIPé,PARQUE CENTRAL ORIENTE,EL JACARANDA,LAGO BOLSENA,Central Oriente esq. / Lago Bolsena,333852.5352,6285437.2987,,,,30.5,22,5,111R;113I;113eI;I11I;I23I,L-13-61-15-SN|PI268|111R;113I;113eI;I11I;I23I
paradas_frecuentes.8,POINT (334354.989465581 6284885.3544160295),1065,1065,L-13-63-30-PO,PI311,MAIPé,PARQUE CENTRAL PONIENTE,LAGO DE LUGANO,EUCALIPTUS,Central Poniente esq. / Eucaliptus,334354.9895,6284885.3544,,,,21.5,31.67,5,111I;113R;113eR;I11R;I23R,L-13-63-30-PO|PI311|111I;113R;113eR;I11R;I23R
paradas_frecuentes.9,POINT (334472.6904836215 6284780.33931998),1066,1066,L-13-63-35-PO,PI312,MAIPé,PARQUE CENTRAL PONIENTE,EUCALIPTUS,LAGO ALBANO,Central Poniente esq. / Lago Albano,334472.6905,6284780.3393,,,,21.5,31.67,5,111I;113R;113eR;I11R;I23R,L-13-63-35-PO|PI312|111I;113R;113eR;I11R;I23R
paradas_frecuentes.10,POINT (334583.4531419615 6284592.676094203),1067,1067,L-13-63-40-PO,PI1599,MAIPé,PARQUE CENTRAL PONIENTE,LAGO ALBANO,EL FILODENDRO,Parada 3 / Colegio Los Alpes,334583.4531,6284592.6761,,,,31,33.67,6,111I;111R;113I;113R;113eI;113eR,L-13-63-40-PO|PI1599|111I;111R;113I;113R;113eI;113eR
paradas_frecuentes.11,POINT (334649.11330504133 6284586.817173168),10530,10530,L-13-63-45-PO,PI313,MAIPé,PARQUE CENTRAL PONIENTE,EL FILODENDRO,LAGO CAREZZA,Parada 1 / Colegio Los Alpes,334649.1133,6284586.8172,,,,10,10,2,I11R;I23R,L-13-63-45-PO|PI313|I11R;I23R
paradas_frecuentes.12,POINT (334681.2176277105 6284593.6918394575),10529,10529,L-13-61-35-OP,PI264,MAIPé,LAGO CAREZZA,EL GOMERO,PARQUE CENTRAL -ORIENTE,Lago Carezza esq. / Pque. Central -Oriente,334681.2176,6284593.6918,,,,11,10,2,I11I;I23I,L-13-61-35-OP|PI264|I11I;I23I
paradas_frecuentes.13,POINT (334558.53654368594 6284794.129155411),1068,1068,L-13-61-30-OP,PI265,MAIPé,PARQUE CENTRAL ORIENTE,EL GOMERO,LAGO ALBANO,Central Oriente esq. / Lago Albano,334558.5385,6284794.1826,,,,30.5,22,5,111R;113I;113eI;I11I;I23I,L-13-61-30-OP|PI265|111R;113I;113eI;I11I;I23I
paradas_frecuentes.14,POINT (334203.5657793501 6285023.286003284),1064,1064,L-13-63-25-PO,PI310,MAIPé,PARQUE CENTRAL PONIENTE,LAS DIADEMAS,LAGO DE LUGANO,Central Poniente esq. / Lago de Lugano,334203.5658,6285023.286,,,,21.5,31.67,5,111I;113R;113eR;I11R;I23R,L-13-63-25-PO|PI310|111I;113R;113eR;I11R;I23R
paradas_frecuentes.15,POINT (334270.10696004704 6285052.718559733),1069,1069,L-13-61-25-OP,PI266,MAIPé,PARQUE CENTRAL ORIENTE,LA CASCADA NORTE,LAGO DE LUGANO,Central Oriente esq. / Lago de Lugano,334270.1412,6285052.717,,,,30.5,22,5,111R;113I;113eI;I11I;I23I,L-13-61-25-OP|PI266|111R;113I;113eI;I11I;I23I
paradas_frecuentes.16,POINT (334718.68852926925 6285206.857652502),10524,10524,L-13-86-5-NS,PI1094,MAIPé,JORGE ANDRS GUERRA,ALCALDE JOSE LUIS INFANTE,AV. ALC. JOS LUIS INFANTE LARRAÖN,Jorge Andrs Guerra esq. / J. Infante Larra¡n,334718.7019,6285206.8142,,,,11,10,2,I11I;I23I,L-13-86-5-NS|PI1094|I11I;I23I
paradas_frecuentes.17,POINT (334739.39145435597 6285169.388382893),10535,10535,L-13-80-5-OP,PI1100,MAIPé,ALC. JOS L. INFANTE,PARQUE SUR,JORGE ANDRS GUERRA,Alc. Jos L. Infante esq. / Jorge A. Guerra,334739.3915,6285169.3884,,,,10,10,2,I11R;I23R,L-13-80-5-OP|PI1100|I11R;I23R
paradas_frecuentes.18,POINT (334846.2209818136 6285405.383422673),10523,10523,L-13-86-15-NS,PI1093,MAIPé,JORGE ANDRS GUERRA,MICHIMALONGO,AV. ALC. JOS LUIS INFANTE LARRAÖN,Jorge Andrs Guerra esq. / J. Infante Larra¡n,334846.221,6285405.3834,,,,11,10,2,I11I;I23I,L-13-86-15-NS|PI1093|I11I;I23I
paradas_frecuentes.19,POINT (338364.91883261845 6273166.623345736),9455,9455,L-30-23-5-OP,PG1650,SAN BERNARDO,ELIODORO Yµ¥EZ,ABEL REYES,EL BARRANCàN,Eliodoro Y ¤ez esq. / El Barranc¢n,338364.888,6273166.596,,,,5,5,1,G07R,L-30-23-5-OP|PG1650|G07R
